Cluster,Cell_Type,Overlap_Count,Jaccard_Index,Fisher_Pval,Overlap_Genes
13,IFE basal 1,0,0.0,1.0,None
13,IFE basal 2,0,0.0,1.0,None
13,IFE granular,0,0.0,1.0,None
13,IFE mitotic,3,0.05263157894736842,3.318075750370849e-05,"BIRC5, MKI67, TYMS"
13,IFE spinous 1,0,0.0,1.0,None
13,IFE spinous 2,0,0.0,1.0,None
13,IFE spinous 3,0,0.0,1.0,None
13,IRS H/H,1,0.01694915254237288,0.06149116554034821,KRT28
13,IRS/cuticle,2,0.034482758620689655,0.001806709727152707,"KRT28, DLX3"
13,ORS B,0,0.0,1.0,None
13,ORS CL,0,0.0,1.0,None
13,ORS SB,0,0.0,1.0,None
13,bulge,0,0.0,1.0,None
13,endothelial,0,0.0,1.0,None
13,immune,0,0.0,1.0,None
13,infundibulum,0,0.0,1.0,None
13,isthmus,0,0.0,1.0,None
13,langerhans,0,0.0,1.0,None
13,lower bulge,0,0.0,1.0,None
13,matrix/cortex/medulla,2,0.034482758620689655,0.001806709727152707,"KRT85, DLX3"
13,melanocytes,0,0.0,1.0,None
13,mesenchymal,0,0.0,1.0,None
13,sebaceous/apocrine,0,0.0,1.0,None
1,IFE basal 1,4,0.07142857142857142,4.2596673367449806e-07,"PMAIP1, EHF, AQP3, CA12"
1,IFE basal 2,0,0.0,1.0,None
1,IFE granular,2,0.034482758620689655,0.001806709727152707,"DMKN, CRABP2"
1,IFE mitotic,0,0.0,1.0,None
1,IFE spinous 1,17,0.3953488372093023,1.3202574647315978e-40,"PMAIP1, FGFBP1, CA12, RHOV, KRTDAP, LY6D, LGALS7, S100A7, GLTP, AQP3, DEFB1, MAL2, CRABP2, KRT1, S100A8, DMKN, KRT10"
1,IFE spinous 2,4,0.07142857142857142,4.2596673367449806e-07,"S100A8, DMKN, DEFB1, LGALS7"
1,IFE spinous 3,13,0.2765957446808511,9.240899934333954e-29,"FGFBP1, KRTDAP, LY6D, LGALS7, S100A7, GLTP, AQP3, DEFB1, KRT1, CRABP2, S100A8, DMKN, KRT10"
1,IRS H/H,6,0.1111111111111111,2.985986703944949e-11,"KRTDAP, LY6D, S100A7, KRT1, S100A8, DMKN"
1,IRS/cuticle,1,0.01694915254237288,0.06149116554034821,CRABP2
1,ORS B,1,0.017241379310344827,0.059501675359893896,LGALS7
1,ORS CL,1,0.01694915254237288,0.06149116554034821,DSG1
1,ORS SB,1,0.01694915254237288,0.06149116554034821,RHOV
1,bulge,0,0.0,1.0,None
1,endothelial,0,0.0,1.0,None
1,immune,0,0.0,1.0,None
1,infundibulum,1,0.01694915254237288,0.06149116554034821,PMAIP1
1,isthmus,1,0.01694915254237288,0.06149116554034821,AQP3
1,langerhans,0,0.0,1.0,None
1,lower bulge,0,0.0,1.0,None
1,matrix/cortex/medulla,0,0.0,1.0,None
1,melanocytes,0,0.0,1.0,None
1,mesenchymal,0,0.0,1.0,None
1,sebaceous/apocrine,0,0.0,1.0,None
11,IFE basal 1,0,0.0,1.0,None
11,IFE basal 2,1,0.01694915254237288,0.06149116554034821,ASS1
11,IFE granular,0,0.0,1.0,None
11,IFE mitotic,0,0.0,1.0,None
11,IFE spinous 1,0,0.0,1.0,None
11,IFE spinous 2,0,0.0,1.0,None
11,IFE spinous 3,0,0.0,1.0,None
11,IRS H/H,1,0.01694915254237288,0.06149116554034821,PRR9
11,IRS/cuticle,2,0.034482758620689655,0.001806709727152707,"DLX3, PSORS1C2"
11,ORS B,0,0.0,1.0,None
11,ORS CL,0,0.0,1.0,None
11,ORS SB,0,0.0,1.0,None
11,bulge,0,0.0,1.0,None
11,endothelial,0,0.0,1.0,None
11,immune,0,0.0,1.0,None
11,infundibulum,0,0.0,1.0,None
